filename,title,category,is_linked,linked_from
blue\derivatives.html,What the Laws Produce | Derivative Families · David Lowe,Standalone,NO,N/A
blue\evolution-probe.html,The Evolution Probe | Three Mathematical Killshots · David Lowe,Standalone,NO,N/A
blue\god-in-the-equations.html,God in the Equations | The Ten Laws · David Lowe,Standalone,YES,index.html
blue\gold-standard-test-battery.html,Gold Standard Test Battery | David Lowe,Standalone,YES,index.html
blue\i-didnt-write-the-math.html,I Didn't Write the Math. I Found It. | David Lowe,Standalone,YES,index.html
blue\index.html,Where All This Came From | David Lowe · Family Briefing,Standalone,NO,N/A
blue\lowe-coherence-lagrangian.html,The Lowe Coherence Lagrangian | David Lowe,Standalone,YES,index.html
blue\math-is-moral.html,Math Is Moral | David Lowe,Standalone,YES,index.html
blue\maxwell-truth-isomorphism.html,Maxwell–Truth Field Isomorphism | David Lowe,Standalone,YES,index.html
blue\six_proofs.html,Six Computational Proofs | David Lowe,Standalone,YES,index.html
blue\the-same-equation.html,The Same Equation | David Lowe,Standalone,YES,index.html
character-of-adversary-from-physics.html,The Character of the Adversary â€” Read from Physics,Standalone,YES,index.html
character-of-god-from-physics.html,The Character of God â€” Read from Physics,Standalone,YES,index.html
consciousness-chi-field-action.html,The Minimal Chi-Field Action | Theophysics Research Program,Consciousness,YES,index.html
consciousness-coherence-bridge.html,The Coherence Bridge — Theophysics Research Program,Consciousness,YES,index.html
consciousness-constraint-argument.html,The Constraint Argument & The Hard Problem at Scale — Theophysics Research Program,Consciousness,YES,index.html
consciousness-evidence-predictions.html,Experimental Evidence and Predictions — Theophysics Research Program,Consciousness,YES,index.html
consciousness-free-will-evil.html,"Consciousness, Free Will, and Evil | Theophysics Research Program",Consciousness,YES,index.html
consciousness-grace-source-term.html,The Grace Source Term — Theophysics Research Program,Consciousness,YES,index.html
consciousness-ontological-taxonomy.html,The Ontological Taxonomy — Theophysics Research Program,Consciousness,YES,index.html
consciousness-parallel-laws.html,Parallel Laws — Physics and Spirit | Theophysics Research Program,Consciousness,YES,index.html
consciousness-reality-assessment.html,The Chi-Field Reality Assessment — Theophysics Research Program,Consciousness,YES,index.html
consciousness-scientific-convergence.html,Consciousness &amp; Scientific Convergence | Theophysics,Consciousness,YES,index.html
cover.html,Genesis to Quantum — Theophysics Research,Standalone,NO,N/A
everybodys-got-it-wrong.html,Everybody's Got It Wrong &mdash; Theophysics,Standalone,YES,index.html
gtq-01-measurement-collapsed-reality.html,Article 01: The Measurement That Collapsed Reality — Genesis to Quantum,Genesis to Quantum,YES,index.html
gtq-02-the-first-quantum-state.html,Article 02: The First Quantum State — Genesis to Quantum,Genesis to Quantum,YES,index.html
gtq-03-free-will-two-frames.html,Article 03: Free Will in Two Frames — Genesis to Quantum,Genesis to Quantum,YES,index.html
gtq-04-the-day-time-began.html,Article 04: The Day Time Began — Genesis to Quantum,Genesis to Quantum,YES,index.html
