source,claim_index,sentence_index,claim_text,claim_kind,support_status,evidence_present,falsifiability_present,dependency_present,hedge_present,absolute_overreach,local_contradiction,precision_present,claim_status,claim_score
O:\_Theophysics_v4\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\THE CONVERGENCE 1 Story\A3_ARCHIVE\What Separates Us (old draft).md,0,0,"*[Convergence](https://convergence.substack.com) — where physics meets theology and the math doesn't flinch.*

---

Everybody's got a theory about what's tearing this country apart.",descriptive,under-supported,False,False,False,False,False,False,False,under-supported,0.458
O:\_Theophysics_v4\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\THE CONVERGENCE 1 Story\A3_ARCHIVE\What Separates Us (old draft).md,1,8,"There are at least six divides splitting America right now, and every one of them feels like THE divide if you're standing inside it.",descriptive,under-supported,False,False,False,False,False,False,False,under-supported,0.5087
O:\_Theophysics_v4\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\THE CONVERGENCE 1 Story\A3_ARCHIVE\What Separates Us (old draft).md,2,13,"Your party affiliation predicts where you live, who you marry, what you drive, what you eat for breakfast.",predictive,under-supported,False,False,False,False,False,False,False,under-supported,0.462
O:\_Theophysics_v4\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\THE CONVERGENCE 1 Story\A3_ARCHIVE\What Separates Us (old draft).md,3,17,**Urban vs Rural.** Drive thirty minutes outside any major city and you're in a different country.,descriptive,under-supported,False,False,False,False,False,False,False,under-supported,0.4527
O:\_Theophysics_v4\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\THE CONVERGENCE 1 Story\A3_ARCHIVE\What Separates Us (old draft).md,4,20,The relationship to institutions is different.,descriptive,under-supported,False,False,False,False,False,False,False,under-supported,0.4527
O:\_Theophysics_v4\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\THE CONVERGENCE 1 Story\A3_ARCHIVE\What Separates Us (old draft).md,5,23,They're not arguing about the same things — they're arguing from different planets about what counts as evidence.,descriptive,under-supported,False,False,False,False,False,False,False,under-supported,0.5047
O:\_Theophysics_v4\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\THE CONVERGENCE 1 Story\A3_ARCHIVE\What Separates Us (old draft).md,6,24,**College vs Non-College.** This one's quiet but it might be the deepest.,descriptive,speculative,False,False,False,True,False,False,False,speculative,0.181
O:\_Theophysics_v4\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\THE CONVERGENCE 1 Story\A3_ARCHIVE\What Separates Us (old draft).md,7,25,"A four-year degree has become the single strongest predictor of how you vote, what media you consume, what you think about immigration, and how you raise your kids.",predictive,under-supported,False,False,False,False,False,False,False,under-supported,0.406
O:\_Theophysics_v4\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\THE CONVERGENCE 1 Story\A3_ARCHIVE\What Separates Us (old draft).md,8,26,And here's the thing that makes it toxic — each side thinks the other one is stupid.,descriptive,under-supported,False,False,False,False,False,False,False,under-supported,0.462
O:\_Theophysics_v4\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\THE CONVERGENCE 1 Story\A3_ARCHIVE\What Separates Us (old draft).md,9,27,The credentialed think the uncredentialed are ignorant.,descriptive,under-supported,False,False,False,False,False,False,False,under-supported,0.406
O:\_Theophysics_v4\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\THE CONVERGENCE 1 Story\A3_ARCHIVE\What Separates Us (old draft).md,10,28,The uncredentialed think the credentialed are brainwashed.,descriptive,under-supported,False,False,False,False,False,False,False,under-supported,0.406
O:\_Theophysics_v4\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\THE CONVERGENCE 1 Story\A3_ARCHIVE\What Separates Us (old draft).md,11,31,**Rich vs Poor.** The wealth gap is obvious.,descriptive,under-supported,False,False,False,False,False,False,False,under-supported,0.406
O:\_Theophysics_v4\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\THE CONVERGENCE 1 Story\A3_ARCHIVE\What Separates Us (old draft).md,12,33,Whether you have a cushion or whether one bad month puts you on the street.,descriptive,under-supported,False,False,False,False,False,False,False,under-supported,0.406
O:\_Theophysics_v4\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\THE CONVERGENCE 1 Story\A3_ARCHIVE\What Separates Us (old draft).md,13,38,Two people looking at the same policy proposal from those two positions aren't evaluating the same thing.,descriptive,under-supported,False,False,False,False,False,False,False,under-supported,0.406
O:\_Theophysics_v4\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\THE CONVERGENCE 1 Story\A3_ARCHIVE\What Separates Us (old draft).md,14,40,"**Religious vs Secular.** Not just ""do you go to church"" but something deeper — whether you think traditional structures are sources of meaning or sources of oppression.",descriptive,under-supported,False,False,False,False,False,False,False,under-supported,0.462
O:\_Theophysics_v4\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\THE CONVERGENCE 1 Story\A3_ARCHIVE\What Separates Us (old draft).md,15,43,"And the fights over curriculum, gender, patriotism, history — every one of those fights is a proxy war for this question: *Is the thing our grandparents built worth keeping, or worth tearing down?*

**Boomers vs Everyone Younger.** Different economic realities.",descriptive,under-supported,False,False,False,False,False,False,False,under-supported,0.5647
O:\_Theophysics_v4\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\THE CONVERGENCE 1 Story\A3_ARCHIVE\What Separates Us (old draft).md,16,49,They're looking at the receipt and the math doesn't add up.,descriptive,under-supported,False,False,False,False,False,False,False,under-supported,0.406
